SAMN10586215	biolink:OntologyClass	16	24	contains	contains	RO:0001019		S1	N/A	CUI-less
SAMN10586215	biolink:OrganismalEntity	119	127	Bacteria	Bacteria	NCBITaxon:2		S1	N/A	CUI-less
SAMN05720810	biolink:OntologyClass	50	57	part of	part of	BFO:0000050		S1	N/A	CUI-less
SAMN05720810	biolink:OntologyClass	79	90	Agriculture	animal husbandry	ENVO:01001248		S1	N/A	CUI-less
SAMN05720810	biolink:OntologyClass	79	90	Agriculture	agricultural process	ENVO:01001246		S1	N/A	CUI-less
SAMN05720810	biolink:OntologyClass	79	90	Agriculture	agriculture	ENVO:01001442		S1	N/A	CUI-less
SAMN16364345	biolink:OntologyClass	16	24	contains	contains	RO:0001019		S1	N/A	CUI-less
SAMN16364345	biolink:OrganismalEntity	119	127	Bacteria	Bacteria	NCBITaxon:2		S1	N/A	CUI-less
SAMN15691669	biolink:OntologyClass	52	68	marine sediments	marine sediment	ENVO:03000033		S1	N/A	CUI-less
SAMN02844900	biolink:OntologyClass	71	78	part of	part of	BFO:0000050		S1	N/A	CUI-less
SAMN10128279	biolink:OntologyClass	50	57	part of	part of	BFO:0000050		S1	N/A	CUI-less
SAMN10128279	biolink:ChemicalSubstance	74	78	Drug	drug	CHEBI:23888		S1	N/A	CUI-less
SAMN14402390	biolink:OntologyClass	47	58	rhizosphere	rhizosphere	ENVO:00005801		S1	N/A	CUI-less
SAMN14402390	biolink:OntologyClass	59	78	microbial community	microbial community	OBO:PCO_1000004		S1	N/A	CUI-less
SAMEA2822422	biolink:OrganismalEntity	50	55	human	Homo sapiens	NCBITaxon:9606		S1	N/A	CUI-less
SAMEA2822422	biolink:OntologyClass	116	123	variant	variant	OBO:PATO_0001227		S1	N/A	CUI-less
SAMEA2822422	biolink:OntologyClass	165	169	pork	pork meat food product	OBO:FOODON_00001038		S1	N/A	CUI-less
SAMEA2822422	biolink:OntologyClass	227	231	pork	pork meat food product	OBO:FOODON_00001038		S2	N/A	CUI-less
SAMEA2822422	biolink:OntologyClass	317	321	pork	pork meat food product	OBO:FOODON_00001038		S2	N/A	CUI-less
SAMEA2822422	biolink:OrganismalEntity	385	388	all	root	NCBITaxon:1		S3	N/A	CUI-less
SAMEA2822422	biolink:OrganismalEntity	389	394	human	Homo sapiens	NCBITaxon:9606		S3	N/A	CUI-less
SAMEA2822422	biolink:OrganismalEntity	545	550	human	Homo sapiens	NCBITaxon:9606		S4	N/A	CUI-less
SAMEA2822422	biolink:OntologyClass	669	672	run	watercourse	ENVO:00000029		S4	N/A	CUI-less
SAMN10875714	biolink:OntologyClass	71	78	part of	part of	BFO:0000050		S1	N/A	CUI-less
